1,21
8,19
7,32
55,94
17,32
6,12
33,60
5,6
16,79
3,57
9,38
21,39
8,10
52,79
78,87
28,49
43,68
41,89
2,55
9,51
3,78
7,22
36,77
6,28
60,98
65,78
46,79
43,80
15,95
20,26
14,98
70,91
12,20
2,70
35,56
42,69
10,27
53,58
52,67
62,81
59,92
82,96
23,28
68,94
21,24
48,54
27,45
16,26
38,83
67,86
54,69
40,67
34,46
9,80
24,53
56,90
23,96
91,93
57,97
46,92
42,44
72,87
69,76
18,21
2,9
27,54
54,93
35,63
37,38
23,78
70,89
18,96
47,75
25,46
28,79
19,56
66,89
0,73
38,49
65,70
8,48
15,33
68,83
10,13
2,96
11,46
18,33
78,83
34,77
86,87
36,38
49,96
48,87
64,71
25,26
91,94
34,44
10,88
21,67
59,88
68,91
17,43
32,72
36,54
30,81
25,29
49,64
83,87
27,58
5,88
23,70
31,44
34,88
44,68
18,25
8,86
34,71
47,69
7,96
9,52
73,94
58,67
43,55
7,62
52,61
3,80
2,87
15,39
85,87
72,94
13,69
74,91
46,85
6,39
45,64
1,8
6,19
27,52
27,31
53,90
28,46
13,26
20,27
46,64
74,89
3,13
49,72
14,25
11,88
8,78
13,74
7,64
68,89
51,63
3,73
87,99
42,57
6,34
64,65
68,90
68,97
2,71
25,40
10,18
50,74
29,95
43,54
9,65
81,85
71,75
28,47
97,99
42,63
1,65
7,84
31,75
21,53
85,94
43,56
60,96
45,59
43,98
8,29
52,84
44,60
49,63
59,72
16,63
57,84
36,65
12,56
58,83
18,26
25,64
15,73
50,86
14,90
79,80
9,61
15,77
25,88
56,85
13,92
64,91
69,89
70,76
98,99
13,98
17,83
78,94
44,86
26,36
11,39
41,84
2,61
33,73
51,71
40,91
18,22
15,87
12,55
61,79
55,98
88,95
11,79
60,77
18,40
17,90
42,76
1,15
0,35
11,60
9,73
27,84
13,67
0,91
19,47
4,97
50,70
57,98
0,74
34,48
14,68
89,97
17,78
51,55
5,81
12,22
27,82
55,85
51,87
29,87
9,29
51,69
46,52
42,61
24,87
34,99
68,92
36,82
21,46
5,96
1,76
44,63
7,65
61,88
72,91
13,60
55,86
19,63
36,49
35,94
2,68
77,86
16,43
61,62
14,37
23,35
5,43
22,36
50,52
41,63
14,65
22,89
26,71
0,99
11,40
53,92
22,30
43,47
8,92
46,53
9,95
26,51
50,89
29,68
61,95
65,98
4,33
7,79
19,57
1,96
64,98
53,71
52,74
2,63
25,78
15,29
54,55
9,50
24,46
11,78
41,91
29,53
38,52
12,42
11,52
40,98
84,96
57,59
20,98
3,56
78,84
6,36
36,50
13,47
8,94
75,98
45,90
48,66
40,92
32,83
35,78
4,46
16,90
1,62
9,42
31,58
29,82
40,46
17,62
31,73
0,7
36,84
30,56
3,67
19,54
64,86
3,54
6,72
34,39
12,76
73,91
15,92
26,83
20,63
3,74
42,70
12,15
64,84
8,76
83,89
53,77
15,89
34,67
20,46
14,96
21,85
56,71
4,18
34,89
90,94
47,66
20,75
53,84
2,92
1,90
14,54
40,83
19,88
10,61
3,86
13,27
29,97
16,32
15,68
14,50
47,67
5,40
33,98
32,93
60,70
51,64
61,75
42,49
14,67
16,51
36,66
1,80
0,42
31,91
64,92
8,24
27,59
61,72
50,87
43,94
20,25
35,71
45,81
11,42
11,36
63,77
19,52
13,61
38,69
66,82
2,17
50,64
53,94
7,91
20,64
36,37
38,59
3,32
71,88
12,48
76,97
19,89
9,85
19,43
6,80
3,48
7,66
10,87
52,87
28,50
38,56
7,71
45,96
32,38
42,89
17,92
8,58
63,99
37,46
50,99
12,60
39,53
41,90
23,31
19,73
38,94
8,56
81,99
17,82
17,68
19,46
0,26
22,63
42,64
5,9
14,83
9,99
75,76
31,32
41,75
1,93
14,32
70,99
13,83
81,83
43,87
47,81
38,63
54,67
12,93
25,82
9,40
37,72
72,80
56,65
40,90
37,48
57,85
12,21
58,99
5,83
21,92
1,41
50,63
9,49
0,56
30,43
18,32
